date,visitors,sales_rp,stock
2021-01-01,136,6302,270
2021-01-02,138,6035,50
2021-01-03,123,4606,50
2021-01-04,52,2299,309
2021-01-05,59,2811,200
2021-01-06,66,2913,83
2021-01-07,50,1998,50
2021-01-08,54,2432,50
2021-01-09,90,3686,50
2021-01-10,91,3814,50
2021-01-11,64,3024,263
2021-01-12,68,3051,147
2021-01-13,57,2628,50
2021-01-14,58,2320,50
2021-01-15,50,1915,50
2021-01-16,87,3608,50
2021-01-17,89,3916,50
2021-01-18,54,2171,284
2021-01-19,69,2917,171
2021-01-20,64,2374,65
2021-01-21,63,2509,50
2021-01-22,66,2567,50
2021-01-23,87,3793,50
2021-01-24,84,3462,50
2021-01-25,53,2228,317
2021-01-26,54,2030,225
2021-01-27,51,2248,138
2021-01-28,59,2593,50
2021-01-29,52,2061,50
2021-01-30,94,3962,50
2021-01-31,91,4305,50
2021-02-01,44,1781,307
2021-02-02,57,2543,203
2021-02-03,50,2218,103
2021-02-04,55,2312,50
2021-02-05,57,2576,50
2021-02-06,88,3213,50
2021-02-07,77,3080,50
2021-02-08,42,1986,281
2021-02-09,60,2522,183
2021-02-10,42,1729,109
2021-02-11,62,2878,50
2021-02-12,55,2268,50
2021-02-13,83,3244,50
2021-02-14,83,2992,50
2021-02-15,52,2004,347
2021-02-16,42,1990,269
2021-02-17,52,2224,183
2021-02-18,44,1705,98
2021-02-19,53,2170,50
2021-02-20,80,3039,50
2021-02-21,79,3712,50
2021-02-22,44,1775,300
2021-02-23,44,1660,216
2021-02-24,45,1998,129
2021-02-25,46,2190,50
2021-02-26,47,1695,50
2021-02-27,76,2992,50
2021-02-28,83,3900,50
2021-03-01,53,2034,323
2021-03-02,58,2261,214
2021-03-03,51,2181,129
2021-03-04,49,2070,50
2021-03-05,51,1989,50
2021-03-06,100,4485,50
2021-03-07,86,3669,50
2021-03-08,67,2982,275
2021-03-09,53,2123,171
2021-03-10,65,2966,50
2021-03-11,59,2352,50
2021-03-12,52,2230,50
2021-03-13,84,3186,50
2021-03-14,83,2994,50
2021-03-15,65,2820,319
2021-03-16,50,2038,234
2021-03-17,62,2926,112
2021-03-18,51,2197,50
2021-03-19,48,2294,50
2021-03-20,87,4018,50
2021-03-21,98,4666,50
2021-03-22,51,1966,320
2021-03-23,48,2134,224
2021-03-24,48,2009,141
2021-03-25,56,2069,50
2021-03-26,61,2660,50
2021-03-27,92,3455,50
2021-03-28,99,4495,50
2021-03-29,52,2052,340
2021-03-30,64,2526,216
2021-03-31,54,2460,122
2021-04-01,50,1873,50
2021-04-02,51,2276,50
2021-04-03,80,3661,50
2021-04-04,89,3462,50
2021-04-05,51,2172,335
2021-04-06,61,2877,214
2021-04-07,47,1870,134
2021-04-08,67,2987,50
2021-04-09,55,2117,50
2021-04-10,88,3860,50
2021-04-11,87,3923,50
2021-04-12,58,2727,318
2021-04-13,64,2772,209
2021-04-14,64,2632,102
2021-04-15,54,2350,50
2021-04-16,56,2316,50
2021-04-17,81,3604,50
2021-04-18,100,4610,50
2021-04-19,63,2335,303
2021-04-20,59,2652,208
2021-04-21,50,2180,119
